; Collection List
; Amiga conventions
; CollId, Filename , Width, Height, Pri, Depth, DiskNr, Length, Usage
; PC conventions
; CollId, Filename, Width, Height, ColorsBegin, ColorsEnd
; PC conventions Profidisk
; CollId, Filename, Width, Height, ColorsBegin, ColorsEnd, fromDisk
1,sky1,320,140,0,191,0
2,sky2,320,140,0,191,0
3,sky3,320,140,0,191,0
4,sky4,320,140,0,191,0
5,sky5,320,140,0,191,0
6,sky6,320,140,0,191,0
7,sky7,320,140,0,191,0
8,sky8,320,140,0,191,0
9,sky9,320,140,0,191,0
10,sky10,320,140,0,191,0
11,sky11,320,140,0,191,0
12,sky12,320,140,0,191,0
13,sky13,320,140,0,191,0
14,sky14,320,140,0,191,0
15,sky15,320,140,0,191,0
16,sky16,320,140,0,191,0
17,sky17,320,140,0,191,0
18,sky18,320,140,0,191,0
19,sky19,320,140,0,191,0
20,sky1.ani,320,15,0,191,0
21,sky2.ani,288,25,0,191,0
22,sky3.ani,64,17,0,191,0
23,sky4.ani,176,84,0,191,0
24,sky5.ani,128,28,0,191,0
25,sky6.ani,128,32,0,191,0
26,sky7.ani,320,72,0,191,0
27,sky8.ani,208,84,0,191,0
28,sky9.ani,192,28,0,191,0
29,sky10.ani,160,26,0,191,0
30,sky11.ani,128,40,0,191,0
31,sky12.ani,128,39,0,191,0
32,sky13.ani,128,31,0,191,0
33,sky14.ani,320,30,0,191,0
34,sky15.ani,64,38,0,191,0
35,sky16.ani,96,10,0,191,0
36,sky17.ani,128,25,0,191,0
37,sky18.ani,64,17,0,191,0
38,sky19.ani,48,19,0,191,0
39,garage,320,140,0,191,0
40,parking,320,140,0,191,0
41,vans,320,140,0,191,0
42,kaserne,320,140,0,191,0
43,kloster,320,140,0,191,0
44,mafia,320,140,0,191,0
45,police,320,140,0,191,0
46,pub,320,140,0,191,0
47,street1,320,140,0,191,0
48,street2,320,140,0,191,0
49,walrus,320,140,0,191,0
50,hotel,320,140,0,191,0
51,wohnung,320,140,0,191,0
52,hehler1,320,140,0,191,0
53,hehler2,320,140,0,191,0
54,hehler3,320,140,0,191,0
55,werkzeug,320,140,0,191,0
56,sabien,320,140,0,191,0
57,vans.ani,160,34,0,191,0
58,kaserne.ani,96,30,0,191,0
59,kloster.ani,264,72,0,191,0
60,police.ani,280,82,0,191,0
61,pub.ani,240,29,0,191,0
62,street1.ani,160,72,0,191,0
63,street2.ani,182,49,0,191,0
64,walrus.ani,192,53,0,191,0
